word,countNum
디씨톰엔터테인먼트,2
로고.,1
홈페이지,1
갈무리클럽,1
버닝썬과,3
연계설이,1
제기된,1
가수,2
숀의,2
소속사,1
디씨톰엔터테인먼트가,1
관련,1
의혹을,3
모두,2
부인했다.디씨톰엔터,1
박승도,1
대표는,2
22일,1
오후,1
입장문을,1
내고,1
“디씨톰과,2
버닝썬은,4
무관하다”고,1
주장했다.이러한,1
입장문은,1
같은,1
날,1
보도된,1
쿠키뉴스의,1
‘버닝썬,1
쌍둥이,1
신사동,1
클럽의,1
주인은?…가수,1
숀,1
소속사와,1
주소,1
동일’,1
제하,1
기사에,1
따른,2
것이다.,1
기사는,1
디씨톰에,2
대해,2
크게,1
두,1
가지,1
제기했다.,1
강남,2
클럽,3
무인을,5
운영하는,3
주식회사,3
음주가무인이,1
디씨톰과,3
사실상,1
한,3
회사라는,1
"점,",1
무인이,2
매주,4
합동공연을,2
열,1
정도로,1
가까운,1
사이라는,1
점이었다.박,1
첫,1
번째,1
의혹에,1
음주가무인은,2
주주와,2
임직원,2
구성이,2
"다른,",1
별도의,4
법인격을,2
가진,2
별개,1
회사”라며,1
"“사무공간,",1
"업무처리,",2
회계처리,2
등,2
모든,2
것이,5
엄격하게,3
구분돼,1
있다”고,2
해명했다.,1
디씨톰,4
직원,3
명이,3
독립해,1
"만들었고,",1
사무공간을,1
마련하는,1
데,1
어려움을,1
겪길래,1
본사,1
사무실,2
한쪽을,1
내줬다는,1
게,3
박,1
대표의,1
주장이다.,1
목요일,2
진행해온,1
것,1
관련해선,1
“디씨톰은,1
DJ를,4
전문적으로,2
매니지먼트하는,2
에이전시,3
형태의,5
회사다.,1
버닝썬,2
뿐만,2
아니라,4
전국,2
유수의,3
클럽에,1
보낸다”고,1
설명했다.이어,1
“버닝썬은,1
당시,2
가장,3
잘,2
나가는,2
클럽이었다.,1
클럽계,1
큰,2
손이던,2
버닝썬이,2
요구하는,2
불합리한,2
것들을,3
거부하기에는,2
너무,2
을의,2
입장이었다”며,1
“디씨톰,1
소속,4
DJ들에게,3
목요일에는,4
무인에서,2
영업하지,3
"말고,",2
버닝썬에서만,2
‘무인썬’이라는,2
형태로,2
공연하라고,1
압박을,2
받았다”고,1
말했다.,1
그러면서,1
“저희,1
역시,2
무인,3
측에,2
미안하지만,2
우리,2
피해가,2
갈,2
수,9
있으니,2
말아,1
달라고,1
했다”며,1
“무인,1
측에서는,2
저희가,3
부탁해서,2
편의를,2
봐,2
준,1
전부”라고,1
덧붙였다.무인이,1
일반음식점으로,1
등록돼,1
개별소비세를,1
탈세했다는,1
보도에,2
대해서도,1
“무인은,1
공연장,1
시설로,2
분류돼,1
"말했으며,",1
숀은,3
이번,2
사태와,1
아무,1
연관이,1
없다고,2
강조했다.빅뱅,1
전,1
멤버,1
승리(29·본명,1
이승현)가,1
사내이사로,1
재직한,1
운영진,1
묵인,1
아래,1
각종,1
마약류가,1
유통됐다는,1
받는다.,1
특히,1
‘물뽕’이라고,1
불리는,1
마약류인,1
GHB를,1
이용한,1
성범죄가,1
빈번하다는,1
주장도,1
나왔다.경찰은,1
마약,1
유통과,1
"성범죄,",1
탈세,1
등이,1
버닝썬에만,1
국한된,1
문제가,2
아니라고,1
보고,1
강남권,1
전반으로,1
수사를,1
넓히고,1
있다.,1
아래는,1
입장,1
전문.,1
"[안녕하세요,",1
엔터테인먼트,1
대표,1
박승도입니다.]#.,1
먼저,1
